State,Code,pop2016
.Alabama, AL,"4,863,300"
.Alaska, AK,"741,894"
.Arizona, AZ,"6,931,071"
.Arkansas, AR,"2,988,248"
.California, CA,"39,250,017"
.Colorado, CO,"5,540,545"
.Connecticut, CT,"3,576,452"
.Delaware, DE,"952,065"
.District of Columbia, DC,"681,170"
.Florida, FL,"20,612,439"
.Georgia, GA,"10,310,371"
.Hawaii, HI,"1,428,557"
.Idaho, ID,"1,683,140"
.Illinois, IL,"12,801,539"
.Indiana, IN,"6,633,053"
.Iowa, IA,"3,134,693"
.Kansas, KS,"2,907,289"
.Kentucky, KY,"4,436,974"
.Louisiana, LA,"4,681,666"
.Maine, ME,"1,331,479"
.Maryland, MD,"6,016,447"
.Massachusetts, MA,"6,811,779"
.Michigan, MI,"9,928,300"
.Minnesota, MN,"5,519,952"
.Mississippi, MS,"2,988,726"
.Missouri, MO,"6,093,000"
.Montana, MT,"1,042,520"
.Nebraska, NE,"1,907,116"
.Nevada, NV,"2,940,058"
.New Hampshire, NH,"1,334,795"
.New Jersey, NJ,"8,944,469"
.New Mexico, NM,"2,081,015"
.New York, NY,"19,745,289"
.North Carolina, NC,"10,146,788"
.North Dakota, ND,"757,952"
.Ohio, OH,"11,614,373"
.Oklahoma, OK,"3,923,561"
.Oregon, OR,"4,093,465"
.Pennsylvania, PA,"12,784,227"
.Rhode Island, RI,"1,056,426"
.South Carolina, SC,"4,961,119"
.South Dakota, SD,"865,454"
.Tennessee, TN,"6,651,194"
.Texas, TX,"27,862,596"
.Utah, UT,"3,051,217"
.Vermont, VT,"624,594"
.Virginia, VA,"8,411,808"
.Washington, WA,"7,288,000"
.West Virginia, WV,"1,831,102"
.Wisconsin, WI,"5,778,708"
.Wyoming, WY,"585,501"
